This sheet represents the master video playlist of Cortex Code demos from our internal teams. They will be featured on all our social channels when published.,,,,,,,,,,,,,,,
"Our goal is to provide you with an agile, relatively self-serve way to publish your demo videos. ",,,,,,,,,,,,,,,
"If you'd like to add your video to this master playlist, 1) make sure a video below doesn't already exist. 2) submit your name and details below for review. ",,,,,,,,,,,,,,,
Questions? Ask Krista Rockson and Kevin Nguyen,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Additional resources,,,,,,,,,,,,,,,
Cortex Code Self-Recording Guide,,,,,,,,,,,,,,,
,,,,,,,,For brand,,,,,,,
,,,,,,,,Raw footage,Headshots,,,,,,
Use Case Title,DRI,Footage by,Status,Skill Type,Level,Audience,"CLI, UI, both?",Link to Raw file,Headshot,Draft for Review,Final YT Video Link,Thumb text (3-5 words),Youtube Title (50-60 characters),Youtube Description,Link to LI Social Post(s)
Cortex Code Overview (101),James Cha-Earley,2026-02-03,Ready for review,Core,101,All,CLI,Cortex Code: 101 Overview,JamesChaEarly_headshot.jpg,https://f.io/O0Y2FAIk,,,,,
"Building Data Agents (Basic, end-to-end)",James Cha-Earley,2026-02-03,Ready for review,Core,201,All,CLI,Cortex Code: 201 Building Data Agent,JamesChaEarly_headshot.jpg,https://f.io/MOQ_vBvu,,,,,
Introduction to Data Analysis,Tyler Simons,2026-02-06,Drafting video,Core,101,All,CLI,Cortex Code: 101 Data Visualizations,Tyler-Simons-Headshot.jpg,,,,,,
Create and optimize semantic models,Abhinav Vadrevu,,New submission,Core,201,,,,,,,,,,
Search services,James Cha-Earley,,New submission,Core,201,,,,JamesChaEarly_headshot.jpg,,,,,,
Dbt Projects authoring,Zachary Blackwood,,New submission,Core,101,DE,,,,,,,,,
Converting Streams + Tasks into Dynamic Tables,Vino Duraisamy,2026-02-18,New submission,Core,201,DE,,,,,,,,,
[Iceberg] Diagnosing and fixing the small file problem,Vino Duraisamy,2026-02-25,New submission,Core,201,DE,,,,,,,,,
Agent Optimize (Root Cause Analysis),James Cha-Earley,2026-02-24,New submission,Core,201,,,,JamesChaEarly_headshot.jpg,,,,,,
[Openflow]  Setting up a Google Drive connector,Vino Duraisamy,2026-03-04,New submission,Core,201,DE,,,,,,,,,
Data Science Agent,Vinay Sridhar,2026-03-03,New submission,,301,,,,,,,,,,
Authoring Snowpark Pipelines,Vino Duraisamy,2026-03-11,New submission,Core,201,DE,,,,,,,,,
How to Build a Skill,Vino Duraisamy,TBD,New submission,Core,201,All,,,,,,,,,
Snowflake Postgres,Christopher Heim,,New submission,Core,201,"DE, App Devs",,,,,,,,,
Internal app development with Streamlit,Arnaud Miribel,,New submission,Core,101,,,,,,,,,,
Managing admin functions (e.g. cost/RBAC),Dash Desai,,New submission,Core,101,,,,,,,,,,
Snowpipe Streaming End-to-End,Vino Duraisamy,,New submission,,,DE,,,,,,,,,
What's New: ,,,,,,,,,,,,,,,
What's New: ,,,,,,,,,,,,,,,
What's New: ,,,,,,,,,,,,,,,
What's New: ,,,,,,,,,,,,,,,
What's New: ,,,,,,,,,,,,,,,
