Program Name,Program Type,Sonic Boom/ Big Bet,Lead,Start Date,End Date,Fiscal Quarter,Goal,Working Group,Campaign,Industry,Additional Shared Services Support,Notes,Link to program doc
Content: Building Trusted AI: Data Platform Essentials,Content,,Abbie Fontanilla,2/1/2026,4/30,Q1,,Platform,AI Data Cloud,,"MOPS, Web, Design",,
Data 4 Good EY AI & Data Challenge,Content,,Chris Lotspeich,2/1/2026,3/15,Q1,,Developer,,,MOPS,Global Students only - Hackathon,
Ebook: 7 Reference Architecture Ebook,Content,,Abbie Fontanilla,2/1/2026,4/30,Q1,200,Applications & Collaboration,AI Data Cloud,,"MOPS, Design, Web",,
Guide: Microsoft SQL Server to Snowflake Migration Reference Manual,Content,,Gayatri Kapur,2/1/2026,2/1,Q1,300,Analytics,Modernize Your Data Estate,,,,
Northstar Education,Content,,Chris Lotspeich,2/1/2026,4/30,Q1,,Developer,,,MOPS,Global Students only - Emails only,
Predictions Report,Content,,Abbie Fontanilla,2/1/2026,4/30,Q1,,Platform,AI Data Cloud,,"MOPS, Design, Web",,
"Report: 50 Essential Apps, AI and Data Products",Content,,Abbie Fontanilla,2/1/2026,4/30,Q1,700,Applications & Collaboration,AI Data Cloud,,"MOPS, Design, Web",,
Startup Challenge,Virtual Event,Big Bet,Abbie Fontanilla,2/1/2026,2/18,Q1,300,Applications & Collaboration,AI Data Cloud,,MOPS,,
Ultimate Open Lakehouse ebook,Content,,JC Quiambao,2/1/2026,,Q1,,Data Engineering,Get Your Data AI Ready,,,,
Distributech,In Person Event,,,2/2/2026,2/5,Q1,,,,Manufacturing,MOPS,,
Data Cloud Demo,Webinar,,Abbie Fontanilla,2/5/2026,2/5,Q1,,Platform,AI Data Cloud,,,,
Ebook: Startup 2026 VC Report ,Content,,Chris Lotspeich,2/9/2026,4/30,Q1,700,Applications & Collaboration,AI Data Cloud,,,,
What's New in Snowflake,Webinar,Big Bet,Roma Patel / Kate Pell ,2/11/2026,,Q1,3000,Platform,AI Data Cloud,,,,
eBook: Top Business Intelligence (BI) Trends and Strategies 2026,Content,,Gayatri Kapur,2/12/2026,2/12,Q1,1500,Analytics,Modernize Your Data Estate,,,,
Ebook: Connect External Sources to Agents,Content,,Abbie Fontanilla,2/13/2026,4/30,Q1,,Applications & Collaboration,Enterprise-ready Data Agents,,"MOPS, Design, Web",,
HIMSS Webinar,3rd Party Webinar,,Gayatri Kapur,2/17/2026,2/17,Q1,500,Healthcare & Life Sciences,Modernize Your Data Estate,Healthcare & Life Sciences,,,
Zero to Snowflake,Webinar,,Abbie Fontanilla,2/18/2026,2/18,Q1,,Platform,AI Data Cloud,,,,
Data Cloud Demo,Webinar,,Abbie Fontanilla,2/19/2026,2/19,Q1,,Platform,AI Data Cloud,,,,
Predictions Webinar - PubSec,3rd Party Webinar,,Erin Troiano,2/19/2026,2/19,Q1,200,Public Sector,Modernize Your Data Estate,Public Sector,"Web, MOPS, Design",,
Travel & Hospitality Predictions,Webinar,,Gloria Huang,2/19/2026,2/19,Q1,,Retail & CPG,AI Data Cloud,Retail & CPG,MOPS,,
Amazon Redshift to Snowflake Migration Reference Manual ,Content,,Gayatri Kapur,2/20/2026,2/20,Q1,300,Analytics,Modernize Your Data Estate,,,,
"Ebook: Essential Guide to Analytical, Hybrid and Transactional Data",Content,,Abbie Fontanilla,2/20/2026,4/30,Q1,,Applications & Collaboration,AI Data Cloud,,"MOPS, Design, Web",,
VIVE,In Person Event,,,2/22/2026,2/25,Q1,,,,Healthcare & Life Sciences,MOPS,,
Getting More from SAP Data with Snowflake,Webinar,,JC Quiambao,2/24/2026,2/24,Q1,1500,Data Engineering,Get Your Data AI Ready,,"MOPS, Design, Web",,FY27Q1 [VHOL] SAP Snowflake
Oil and Gas Webinar,Webinar,Big Bet,Gloria Huang,2/24/2026,2/24,Q1,,Manufacturing,AI Data Cloud,Manufacturing,MOPS,,
Accelerate Your Apache Spark Workloads on Snowflake,Webinar,,JC Quiambao,2/26/2026,2/26,Q1,800,Data Engineering,Get Your Data AI Ready,,"Web, Design, MOPS",,FY27Q1 Intro to Snowpark Connect webinar
